"","TIME","GEO","PRODUCT","INDIC_NRG","Value"
"1","2000","European Union (28 countries)","All products","Imports",53000011
"2","2000","European Union (28 countries)","All products","Exports",18371087
"3","2000","European Union (28 countries)","All products","Gross inland consumption",72436409
"4","2000","European Union (28 countries)","Solid fuels","Imports",5515756
"5","2000","European Union (28 countries)","Solid fuels","Exports",1400195
"6","2000","European Union (28 countries)","Solid fuels","Gross inland consumption",13450238
"7","2000","European Union (28 countries)","Total petroleum products","Imports",36341075
"8","2000","European Union (28 countries)","Total petroleum products","Exports",14026186
"9","2000","European Union (28 countries)","Total petroleum products","Gross inland consumption",27726558
"10","2000","European Union (28 countries)","Gas","Imports",10149979
"11","2000","European Union (28 countries)","Gas","Exports",2048583
"12","2000","European Union (28 countries)","Gas","Gross inland consumption",16588797
"13","2000","European Union (28 countries)","Nuclear heat","Imports",NA
"14","2000","European Union (28 countries)","Nuclear heat","Exports",NA
"15","2000","European Union (28 countries)","Nuclear heat","Gross inland consumption",10209125
"16","2000","European Union (28 countries)","Derived heat","Imports",144
"17","2000","European Union (28 countries)","Derived heat","Exports",283
"18","2000","European Union (28 countries)","Derived heat","Gross inland consumption",-139
"19","2000","European Union (28 countries)","Renewable energies","Imports",35097
"20","2000","European Union (28 countries)","Renewable energies","Exports",20757
"21","2000","European Union (28 countries)","Renewable energies","Gross inland consumption",4125129
"22","2000","European Union (28 countries)","Electrical energy","Imports",957960
"23","2000","European Union (28 countries)","Electrical energy","Exports",875084
"24","2000","European Union (28 countries)","Electrical energy","Gross inland consumption",82876
"25","2000","European Union (28 countries)","Industrial wastes","Imports",0
"26","2000","European Union (28 countries)","Industrial wastes","Exports",0
"27","2000","European Union (28 countries)","Industrial wastes","Gross inland consumption",100450
"28","2000","European Union (28 countries)","Waste (non-renewable)","Imports",0
"29","2000","European Union (28 countries)","Waste (non-renewable)","Exports",0
"30","2000","European Union (28 countries)","Waste (non-renewable)","Gross inland consumption",253824
"31","2000","Euro area (19 countries)","All products","Imports",43527880
"32","2000","Euro area (19 countries)","All products","Exports",10012929
"33","2000","Euro area (19 countries)","All products","Gross inland consumption",50744583
"34","2000","Euro area (19 countries)","Solid fuels","Imports",4277148
"35","2000","Euro area (19 countries)","Solid fuels","Exports",384118
"36","2000","Euro area (19 countries)","Solid fuels","Gross inland consumption",7626633
"37","2000","Euro area (19 countries)","Total petroleum products","Imports",29639559
"38","2000","Euro area (19 countries)","Total petroleum products","Exports",7513813
"39","2000","Euro area (19 countries)","Total petroleum products","Gross inland consumption",21137397
"40","2000","Euro area (19 countries)","Gas","Imports",8868002
"41","2000","Euro area (19 countries)","Gas","Exports",1449601
"42","2000","Euro area (19 countries)","Gas","Gross inland consumption",10784973
"43","2000","Euro area (19 countries)","Nuclear heat","Imports",NA
"44","2000","Euro area (19 countries)","Nuclear heat","Exports",NA
"45","2000","Euro area (19 countries)","Nuclear heat","Gross inland consumption",8115231
"46","2000","Euro area (19 countries)","Derived heat","Imports",0
"47","2000","Euro area (19 countries)","Derived heat","Exports",144
"48","2000","Euro area (19 countries)","Derived heat","Gross inland consumption",-144
"49","2000","Euro area (19 countries)","Renewable energies","Imports",32513
"50","2000","Euro area (19 countries)","Renewable energies","Exports",20651
"51","2000","Euro area (19 countries)","Renewable energies","Gross inland consumption",2809521
"52","2000","Euro area (19 countries)","Electrical energy","Imports",710658
"53","2000","Euro area (19 countries)","Electrical energy","Exports",644602
"54","2000","Euro area (19 countries)","Electrical energy","Gross inland consumption",66056
"55","2000","Euro area (19 countries)","Industrial wastes","Imports",0
"56","2000","Euro area (19 countries)","Industrial wastes","Exports",0
"57","2000","Euro area (19 countries)","Industrial wastes","Gross inland consumption",86709
"58","2000","Euro area (19 countries)","Waste (non-renewable)","Imports",0
"59","2000","Euro area (19 countries)","Waste (non-renewable)","Exports",0
"60","2000","Euro area (19 countries)","Waste (non-renewable)","Gross inland consumption",204915
"61","2000","Belgium","All products","Imports",3164473
"62","2000","Belgium","All products","Exports",1050204
"63","2000","Belgium","All products","Gross inland consumption",2482902
"64","2000","Belgium","Solid fuels","Imports",351931
"65","2000","Belgium","Solid fuels","Exports",46312
"66","2000","Belgium","Solid fuels","Gross inland consumption",335017
"67","2000","Belgium","Total petroleum products","Imports",2210330
"68","2000","Belgium","Total petroleum products","Exports",977543
"69","2000","Belgium","Total petroleum products","Gross inland consumption",1007245
"70","2000","Belgium","Gas","Imports",555916
"71","2000","Belgium","Gas","Exports",0
"72","2000","Belgium","Gas","Gross inland consumption",559714
"73","2000","Belgium","Nuclear heat","Imports",NA
"74","2000","Belgium","Nuclear heat","Exports",NA
"75","2000","Belgium","Nuclear heat","Gross inland consumption",520096
"76","2000","Belgium","Derived heat","Imports",0
"77","2000","Belgium","Derived heat","Exports",0
"78","2000","Belgium","Derived heat","Gross inland consumption",0
"79","2000","Belgium","Renewable energies","Imports",4373
"80","2000","Belgium","Renewable energies","Exports",0
"81","2000","Belgium","Renewable energies","Gross inland consumption",26713
"82","2000","Belgium","Electrical energy","Imports",41922
"83","2000","Belgium","Electrical energy","Exports",26348
"84","2000","Belgium","Electrical energy","Gross inland consumption",15574
"85","2000","Belgium","Industrial wastes","Imports",0
"86","2000","Belgium","Industrial wastes","Exports",0
"87","2000","Belgium","Industrial wastes","Gross inland consumption",10911
"88","2000","Belgium","Waste (non-renewable)","Imports",0
"89","2000","Belgium","Waste (non-renewable)","Exports",0
"90","2000","Belgium","Waste (non-renewable)","Gross inland consumption",18544
"91","2000","Bulgaria","All products","Imports",467712
"92","2000","Bulgaria","All products","Exports",109976
"93","2000","Bulgaria","All products","Gross inland consumption",775506
"94","2000","Bulgaria","Solid fuels","Imports",99679
"95","2000","Bulgaria","Solid fuels","Exports",5158
