"","TIME","GEO","PRODUCT","Proizvodnja/zaloga"
"1","2000","Austria","All products",294403
"2","2000","Austria","Derived heat",0
"3","2000","Austria","Electrical energy",-54691
"4","2000","Austria","Gas",52899
"5","2000","Austria","Nuclear heat",NA
"6","2000","Austria","Renewable energies",269974
"7","2000","Austria","Solid fuels",22347
"8","2000","Austria","Total petroleum products",-6634
"9","2000","Austria","Waste (non-renewable)",10509
"10","2000","Belgium","All products",-681571
"11","2000","Belgium","Derived heat",0
"12","2000","Belgium","Electrical energy",-26348
"13","2000","Belgium","Gas",3798
"14","2000","Belgium","Nuclear heat",NA
"15","2000","Belgium","Renewable energies",22340
"16","2000","Belgium","Solid fuels",-16914
"17","2000","Belgium","Total petroleum products",-1203085
"18","2000","Belgium","Waste (non-renewable)",18544
"19","2000","Bulgaria","All products",307794
"20","2000","Bulgaria","Derived heat",0
"21","2000","Bulgaria","Electrical energy",-20102
"22","2000","Bulgaria","Gas",7925
"23","2000","Bulgaria","Nuclear heat",NA
"24","2000","Bulgaria","Renewable energies",32506
"25","2000","Bulgaria","Solid fuels",169654
"26","2000","Bulgaria","Total petroleum products",-79428
"27","2000","Bulgaria","Waste (non-renewable)",484
"28","2000","Croatia","All products",103574
"29","2000","Croatia","Derived heat",0
"30","2000","Croatia","Electrical energy",-3474
"31","2000","Croatia","Gas",54610
"32","2000","Croatia","Nuclear heat",NA
"33","2000","Croatia","Renewable energies",65196
"34","2000","Croatia","Solid fuels",-1978
"35","2000","Croatia","Total petroleum products",-10836
"36","2000","Croatia","Waste (non-renewable)",56
"37","2000","Cyprus","All products",-6393
"38","2000","Cyprus","Derived heat",0
"39","2000","Cyprus","Electrical energy",0
"40","2000","Cyprus","Gas",NA
"41","2000","Cyprus","Nuclear heat",NA
"42","2000","Cyprus","Renewable energies",1853
"43","2000","Cyprus","Solid fuels",2
"44","2000","Cyprus","Total petroleum products",-8247
"45","2000","Cyprus","Waste (non-renewable)",NA
"46","2000","Czech Republic","All products",983851
"47","2000","Czech Republic","Derived heat",-139
"48","2000","Czech Republic","Electrical energy",-67471
"49","2000","Czech Republic","Gas",726
"50","2000","Czech Republic","Nuclear heat",NA
"51","2000","Czech Republic","Renewable energies",67496
"52","2000","Czech Republic","Solid fuels",862699
"53","2000","Czech Republic","Total petroleum products",-29876
"54","2000","Czech Republic","Waste (non-renewable)",3645
"55","2000","Denmark","All products",218188
"56","2000","Denmark","Derived heat",0
"57","2000","Denmark","Electrical energy",-27907
"58","2000","Denmark","Gas",186949
"59","2000","Denmark","Nuclear heat",NA
"60","2000","Denmark","Renewable energies",72772
